City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
208,fada,9.5667,8.3,20.59,28,44,3.37,NG,1702276335
209,sechura,-5.5569,-80.8222,21.14,77,1,4.99,PE,1702276335
210,tobruk,32.0836,23.9764,14.4,68,18,6.8,LY,1702276335
211,kondapalle,16.6167,80.5333,28.47,49,6,1.23,IN,1702276335
212,puerto leguizamo,-0.1934,-74.7819,22.17,99,46,0.94,CO,1702276335
213,kupino,54.3663,77.2981,-25.96,94,30,4.64,RU,1702276335
214,tazacorte,28.629,-17.9293,19.53,46,0,4.92,ES,1702276335
215,trairi,-3.2778,-39.2689,26.39,73,22,4.65,BR,1702276106
216,margaret river,-33.95,115.0667,22.92,41,0,5.35,AU,1702276335
217,port mathurin,-19.6833,63.4167,28.05,78,75,5.14,MU,1702276336
218,bentota,6.4254,79.9948,28.3,74,51,2.73,LK,1702276336
219,birjand,32.8663,59.2211,13.26,28,66,0.0,IR,1702276336
220,pisco,-13.7,-76.2167,20.03,77,0,0.51,PE,1702276336
221,touros,-5.1989,-35.4608,26.28,73,0,4.14,BR,1702276336
222,dindima,10.2263,10.1513,18.61,31,6,3.8,NG,1702276336
223,launceston,-41.45,147.1667,27.8,32,100,6.69,AU,1702276336
224,port lincoln,-34.7333,135.8667,19.14,75,57,2.86,AU,1702276337
225,hastings,50.8552,0.5729,11.55,74,99,9.73,GB,1702276337
226,maxixe,-23.8597,35.3472,30.9,79,40,5.14,MZ,1702276337
227,conceicao das alagoas,-19.9147,-48.3883,22.88,90,100,3.14,BR,1702276337
228,kujang-up,39.8672,126.0303,1.18,99,100,1.63,KP,1702276337
229,ivins,37.1686,-113.6794,2.62,26,100,1.65,US,1702276338
230,fecamp,49.7579,0.3746,11.84,87,67,9.49,FR,1702276338
231,lompoc,34.6391,-120.4579,15.51,77,0,2.57,US,1702276338
232,kone,-21.0595,164.8658,25.98,60,79,4.4,NC,1702276338
233,choibalsan,48.0667,114.5,-18.74,83,100,2.04,MN,1702276338
234,kapuskasing,49.4169,-82.4331,-8.95,86,100,4.63,CA,1702276202
235,hammerfest,70.6634,23.6821,-2.75,74,75,4.12,NO,1702276339
236,shimanovsk,52.0,127.7,-20.97,70,2,4.23,RU,1702276339
237,udachny,66.4167,112.4,-25.62,96,100,4.79,RU,1702276339
238,uturoa,-16.7333,-151.4333,27.16,79,31,9.99,PF,1702276339
239,cherepovets,59.1333,37.9,-14.1,85,75,3.0,RU,1702276339
240,emkhomazi,-30.2067,30.7978,19.93,84,100,0.63,ZA,1702276339
241,tibanbang,6.6315,126.1055,28.18,75,91,2.71,PH,1702276340
242,dudinka,69.4058,86.1778,-27.96,97,100,6.71,RU,1702276340
243,at taj,24.2049,23.2857,13.69,49,0,3.79,LY,1702276340
244,yuzha,56.5831,42.0122,-10.37,93,100,5.11,RU,1702276340
245,tolanaro,-25.0319,46.9987,30.04,70,20,6.17,MG,1702276340
246,borogontsy,62.6683,131.1683,-31.23,95,100,2.59,RU,1702276340
247,pankovka,58.5,31.1999,-9.94,94,100,4.06,RU,1702276341
248,kailua-kona,19.6406,-155.9956,27.55,81,0,1.54,US,1702276070
249,sisimiut,66.9395,-53.6735,-3.24,92,100,7.12,GL,1702276341
250,port isabel,26.0734,-97.2086,8.02,71,0,2.57,US,1702276341
251,furmanov,57.2508,41.1058,-11.12,93,100,6.19,RU,1702276341
252,kaa-khem,51.6833,94.7333,-30.33,95,80,0.94,RU,1702276341
253,usinsk,65.9939,57.5281,-24.96,97,100,6.71,RU,1702276341
254,copala,16.65,-98.9833,24.89,80,65,1.59,MX,1702276342
255,el calafate,-50.3408,-72.2768,6.9,77,73,3.15,AR,1702276342
256,galliano,29.4422,-90.2992,8.33,75,0,2.06,US,1702276342
257,la ronge,55.1001,-105.2842,-4.86,74,0,4.12,CA,1702276342
258,hobyo,5.3505,48.5268,27.36,74,100,7.95,SO,1702276342
259,formosa do rio preto,-11.0483,-45.1931,22.59,84,91,1.12,BR,1702276342
260,aripuana,-9.1667,-60.6333,23.06,98,91,0.49,BR,1702276342
261,flin flon,54.7682,-101.865,-8.23,92,100,3.57,CA,1702276342
262,andilamena,-17.0167,48.5833,25.91,60,73,3.96,MG,1702276343
263,alvorada,-12.48,-49.1247,22.78,86,99,1.57,BR,1702276343
264,tralee,52.2704,-9.7026,6.45,95,24,2.32,IE,1702276343
265,kourou,5.1552,-52.6478,25.03,92,63,3.01,GF,1702276207
266,sao joao de pirabas,-0.7747,-47.1772,26.13,80,42,4.26,BR,1702276343
267,labrador city,52.9463,-66.9114,-1.05,86,100,6.17,CA,1702276343
268,trusesti,47.7667,27.0167,-1.33,89,100,2.62,RO,1702276343
269,utrik,11.2278,169.8474,27.33,81,80,9.46,MH,1702276343
270,san rafael,-34.6177,-68.3301,23.46,37,13,6.73,AR,1702276236
271,kasongo-lunda,-6.4667,16.8167,23.42,94,100,1.1,CD,1702276343
272,keflavik,64.0049,-22.5624,2.24,87,75,3.6,IS,1702276344
273,crane,31.3974,-102.3501,7.14,29,0,2.76,US,1702276344
274,lebanon,36.2081,-86.2911,0.43,91,100,0.0,US,1702276344
275,gereida,11.2811,25.1414,28.19,14,9,1.94,SD,1702276344
276,east london,-33.0153,27.9116,20.52,77,20,3.09,ZA,1702276344
277,whangarei,-35.7317,174.3239,15.71,66,0,3.32,NZ,1702276344
278,howrah,22.5892,88.3103,24.0,46,0,3.6,IN,1702276344
279,tadine,-21.55,167.8833,23.13,66,33,6.9,NC,1702276344
280,galle,6.0367,80.217,28.73,70,98,2.05,LK,1702276344
281,callao,-12.0667,-77.15,20.4,82,20,4.12,PE,1702276344
282,mount isa,-20.7333,139.5,34.87,29,0,3.09,AU,1702276345
283,macae,-22.3708,-41.7869,20.86,94,100,1.54,BR,1702276082
284,tan-tan,28.438,-11.1032,19.97,30,0,3.09,MA,1702276345
285,boda,4.3189,17.4695,25.85,50,100,1.07,CF,1702276345
286,mata-utu,-13.2816,-176.1745,28.51,74,56,5.54,WF,1702276345
